N° Ticket;Statut;Titre;N° PPV Site;Nom du Site;Code Banco;Nom Contrat;Code Agence;Agence;Région;Util. Demandeur;Util. Prise en compte;Util. Resp. Ticket;Util. Cloture;Date Demande;Date Prise en compte;Date Réal. Prog.;Date Cloture;Type de compte;Imputation;
29644;Cloturé sans suite;Merci de rajouter courbe individuelle suivi niveau réception GSM/GPRS;15832;SETE PR+DO Quai de Scheydt;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;GID021;;;GJH222;2019-11-13;1970-01-01;1970-01-01;2019-11-13;Exploitation;-;
29643;Cloturé sans suite;Merci de rajouter courbe individuelle suivi niveau réception GSM/GPRS;15825;SETE PR  Lazaret;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;GID021;;;GJH222;2019-11-13;1970-01-01;1970-01-01;2019-11-13;Exploitation;-;
29642;Cloturé sans suite;Merci de rajouter courbe individuelle suivi niveau réception GSM/GPRS;15826;SETE PR+DO Quai de la marine;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;GID021;;;GJH222;2019-11-13;1970-01-01;1970-01-01;2019-11-13;Exploitation;-;
29638;Cloturé sans suite;Absence de données NRJ sur BDLT;13461;AGDE STEP St Vincent;10069;CA Hérault Méditerranée - AGDE;1111;AG Thau Méditerranée;Occitanie;DHA168;GJH222;GJH222;GJH222;2019-11-13;2019-11-13;2019-11-13;2019-11-14;Exploitation;-;
29635;Cloturé sans suite;Modification de libellés;78641;CORCONNE STEP;14198;CORCONNE;1109;AG Occitanie Nord Est;Occitanie;GEK006;FCK343;FCK343;FCK343;2019-11-13;2019-11-13;2019-11-28;2019-11-13;Exploitation;-;
29631;Cloturé sans suite;Stat 2iTools;;;;;HC115;Hors Contrat;Occitanie;GJH222;FCK343;FCK343;FCK343;2019-11-13;2019-11-13;2019-11-13;2019-11-13;Exploitation;-;
29630;Cloturé sans suite;MaJ OCCAG_ONE;;;;;1109;AG Occitanie Nord Est;Occitanie;FCK343;FCK343;FCK343;FCK343;2019-11-13;2019-11-13;2019-11-28;2019-11-13;Exploitation;-;
29629;Cloturé sans suite;Intégration sur Topkapi;98053;FRONTIGNAN PR Mobil;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;DGH201;HCE437;GJH222;GJH222;2019-11-13;2019-11-20;2019-11-21;2019-12-15;Exploitation;-;
29625;Cloturé sans suite;Demande de carte SIM GPRS;98053;FRONTIGNAN PR Mobil;24592;SETE AGGLOPOLE MEDITERRANEE - THAU MARITIMA;1111;AG Thau Méditerranée;Occitanie;DGH201;GJH222;GJH222;GJH222;2019-11-13;2019-11-15;2019-11-15;2019-11-15;Exploitation;-;
29623;Cloturé sans suite;Syno Béziers;;;;;1112;AG Béziers Méditerranée;Occitanie;IAF033;IAF033;IAF033;IAF033;2019-11-13;2019-11-13;2019-11-13;2019-11-13;Exploitation;-;
